名稱,縣市,緯度,經度,is_indoor,設施類型,最近測站,測站AQI,距離(km),風險等級
大肚國小體育館,臺中市大肚區,24.1546,120.5463,True,室內,西屯,27,7.21,Normal
新平國小〈南棟B1、操場、籃球場〉,臺中市太平區,24.1547,120.7201,False,室外,臺灣大道,38,6.45,Normal
黎明里活動中心,臺中市南屯區,24.1555,120.6296,True,室內,忠明,29,1.23,Normal
黃竹國小〈戶外操場〉,臺中市太平區,24.1556,120.7344,False,室外,臺灣大道,38,7.89,Normal
何南、何成里聯合活動中心,臺中市西屯區,24.1557,120.648109,True,室內,忠明,29,0.82,Normal
大同社區活動中心,彰化縣伸港鄉,24.156642,120.47616,True,室內,線西,32,2.87,Normal
什股社區活動中心,彰化縣伸港鄉,24.156642,120.47616,True,室內,線西,32,2.87,Normal
臺中市西區忠明國小禮堂忠明館,臺中市西區,24.1578,120.6591,True,室內,臺灣大道,38,0.27,Normal
臺中市西區忠明高中禮堂忠明館,臺中市西區,24.1579,120.6637,True,室內,臺灣大道,38,0.72,Normal
新光國中〈活動中心.操場〉,臺中市太平區,24.1579,120.7093,False,室外,臺灣大道,38,5.34,Normal
中和社區活動中心,臺中市大肚區,24.158601,120.544456,True,室內,西屯,27,7.36,Normal
營埔社區活動中心,臺中市大肚區,24.158601,120.5446,True,室內,西屯,27,7.35,Normal
永順社區活動中心,臺中市大肚區,24.1588,120.5331,True,室內,線西,32,7.16,Normal
頂街社區活動中心,臺中市大肚區,24.1589,120.5446,True,室內,西屯,27,7.35,Normal
臺中市新社區中興合作農場,臺中市新社區,24.1589,120.8262,False,室外,豐原,22,13.82,Normal
臺中市北區乾溝子活動中心,臺中市北區,24.1591,120.6662,True,室內,臺灣大道,38,0.96,Normal
山陽國小防空避難室,臺中市大肚區,24.159312,120.544865,True,室內,西屯,27,7.32,Normal
紅葉國小,南投縣仁愛鄉,24.159312,121.176707,True,室內,埔里,32,29.97,Normal
臺中市新社區大林國小,臺中市新社區,24.159481,120.863914,True,室內,豐原,22,16.41,Normal
省三國小育德館及操場,臺中市北區,24.1599,120.6848,False,室外,臺灣大道,38,2.85,Normal
鐵山社區活動中心,彰化縣和美鎮,24.16,120.519,True,室內,線西,32,5.97,Normal
溪底社區活動中心,彰化縣伸港鄉,24.160703,120.501452,True,室內,線西,32,4.61,Normal
漢口國中（操場）,臺中市西屯區,24.16176,120.657033,False,室外,臺灣大道,38,0.32,Normal
崇德國小收容所,花蓮縣秀林鄉,24.162,121.6524,True,室內,花蓮,26,21.87,Normal
何安里活動中心,臺中市西屯區,24.162332,120.653758,True,室內,臺灣大道,38,0.49,Normal
