行號,名稱,縣市,問題類別,問題描述,原始值,建議修正
1780,東榮國中-室內,嘉義縣東石鄉,座標重複,與「東榮國中-室外」共用相同座標,"(120.1727, 23.4619)",各避難所應有獨立座標
1781,東榮國中-室外,嘉義縣東石鄉,座標重複,與「東榮國中-室內」共用相同座標,"(120.1727, 23.4619)",各避難所應有獨立座標
1785,港墘國小-室內,嘉義縣東石鄉,座標重複,與「港墘國小-室外」共用相同座標,"(120.2138, 23.4638)",各避難所應有獨立座標
1786,港墘國小-室外,嘉義縣東石鄉,座標重複,與「港墘國小-室內」共用相同座標,"(120.2138, 23.4638)",各避難所應有獨立座標
1799,桃源國小[室內],嘉義縣竹崎鄉,座標重複,與「桃源國小[戶外]」共用相同座標,"(120.6656, 23.4674)",各避難所應有獨立座標
1800,桃源國小[戶外],嘉義縣竹崎鄉,座標重複,與「桃源國小[室內]」共用相同座標,"(120.6656, 23.4674)",各避難所應有獨立座標
1809,三江國小-室內,嘉義縣東石鄉,座標重複,與「三江國小-室外」共用相同座標,"(120.1744, 23.4713)",各避難所應有獨立座標
1810,三江國小-室外,嘉義縣東石鄉,座標重複,與「三江國小-室內」共用相同座標,"(120.1744, 23.4713)",各避難所應有獨立座標
1811,塭港國小-室內,嘉義縣東石鄉,座標重複,與「塭港國小-室外」共用相同座標,"(120.1459, 23.4717)",各避難所應有獨立座標
1812,塭港國小-室外,嘉義縣東石鄉,座標重複,與「塭港國小-室內」共用相同座標,"(120.1459, 23.4717)",各避難所應有獨立座標
1819,義仁國小[室內],嘉義縣竹崎鄉,座標重複,與「義仁國小[戶外]、鹿滿國小[戶外]」共用相同座標,"(120.6703, 23.4726)",各避難所應有獨立座標
1820,義仁國小[戶外],嘉義縣竹崎鄉,座標重複,與「義仁國小[室內]、鹿滿國小[戶外]」共用相同座標,"(120.6703, 23.4726)",各避難所應有獨立座標
1821,鹿滿國小[戶外],嘉義縣竹崎鄉,座標重複,與「義仁國小[室內]、義仁國小[戶外]」共用相同座標,"(120.6703, 23.4726)",各避難所應有獨立座標
1824,龍山國小[室內],嘉義縣竹崎鄉,座標重複,與「龍山國小[戶外]」共用相同座標,"(120.586, 23.4735)",各避難所應有獨立座標
1825,龍山國小[戶外],嘉義縣竹崎鄉,座標重複,與「龍山國小[室內]」共用相同座標,"(120.586, 23.4735)",各避難所應有獨立座標
1831,大湖國小-室內,嘉義縣番路鄉,座標重複,與「大湖國小-室外」共用相同座標,"(120.6204, 23.475)",各避難所應有獨立座標
1832,大湖國小-室外,嘉義縣番路鄉,座標重複,與「大湖國小-室內」共用相同座標,"(120.6204, 23.475)",各避難所應有獨立座標
1834,內埔國小[室內],嘉義縣竹崎鄉,座標重複,與「內埔國小[戶外]」共用相同座標,"(120.5646, 23.4756)",各避難所應有獨立座標
1835,內埔國小[戶外],嘉義縣竹崎鄉,座標重複,與「內埔國小[室內]」共用相同座標,"(120.5646, 23.4756)",各避難所應有獨立座標
1836,民族國民小學,嘉義市東區,座標重複,與「大業國民中學」共用相同座標,"(120.4552, 23.476)",各避難所應有獨立座標
1837,大業國民中學,嘉義市東區,座標重複,與「民族國民小學」共用相同座標,"(120.4552, 23.476)",各避難所應有獨立座標
1841,東區區公所,嘉義市東區,座標重複,與「嘉義市立棒球場」共用相同座標,"(120.4534, 23.4787)",各避難所應有獨立座標
1842,嘉義市立棒球場,嘉義市東區,座標重複,與「東區區公所」共用相同座標,"(120.4534, 23.4787)",各避難所應有獨立座標
1853,圓崇國小[室內],嘉義縣竹崎鄉,座標重複,與「圓崇國小[戶外]」共用相同座標,"(120.5578, 23.4853)",各避難所應有獨立座標
1854,圓崇國小[戶外],嘉義縣竹崎鄉,座標重複,與「圓崇國小[室內]」共用相同座標,"(120.5578, 23.4853)",各避難所應有獨立座標
1857,復金社區活動中心,嘉義縣竹崎鄉,座標重複,與「龍山社區活動中心」共用相同座標,"(120.5152, 23.4867)",各避難所應有獨立座標
1858,龍山社區活動中心,嘉義縣竹崎鄉,座標重複,與「復金社區活動中心」共用相同座標,"(120.5152, 23.4867)",各避難所應有獨立座標
1859,光華國小[室內],嘉義縣竹崎鄉,座標重複,與「光華國小[戶外]」共用相同座標,"(120.5759, 23.4869)",各避難所應有獨立座標
1860,光華國小[戶外],嘉義縣竹崎鄉,座標重複,與「光華國小[室內]」共用相同座標,"(120.5759, 23.4869)",各避難所應有獨立座標
1863,下楫國小-室內,嘉義縣東石鄉,座標重複,與「下楫國小-室外」共用相同座標,"(120.1965, 23.4875)",各避難所應有獨立座標
1864,下楫國小-室外,嘉義縣東石鄉,座標重複,與「下楫國小-室內」共用相同座標,"(120.1965, 23.4875)",各避難所應有獨立座標
1890,春梅社區活動中心,嘉義縣太保市,座標重複,與「太保國小[室內]」共用相同座標,"(120.3867, 23.4952)",各避難所應有獨立座標
1891,太保國小[室內],嘉義縣太保市,座標重複,與「春梅社區活動中心」共用相同座標,"(120.3867, 23.4952)",各避難所應有獨立座標
1893,南新國小[室內],嘉義縣太保市,座標重複,與「南新國小[室外]」共用相同座標,"(120.3845, 23.497)",各避難所應有獨立座標
1894,南新國小[室外],嘉義縣太保市,座標重複,與「南新國小[室內]」共用相同座標,"(120.3845, 23.497)",各避難所應有獨立座標
1896,中和國小[室內],嘉義縣竹崎鄉,座標重複,與「中和國小[戶外]、沙坑國小[戶外]」共用相同座標,"(120.5344, 23.4988)",各避難所應有獨立座標
1897,中和國小[戶外],嘉義縣竹崎鄉,座標重複,與「中和國小[室內]、沙坑國小[戶外]」共用相同座標,"(120.5344, 23.4988)",各避難所應有獨立座標
1898,沙坑國小[戶外],嘉義縣竹崎鄉,座標重複,與「中和國小[室內]、中和國小[戶外]」共用相同座標,"(120.5344, 23.4988)",各避難所應有獨立座標
1909,六嘉國中禮堂-室內,嘉義縣六腳鄉,座標重複,與「六嘉國中-室外」共用相同座標,"(120.292165, 23.501676)",各避難所應有獨立座標
1910,六嘉國中-室外,嘉義縣六腳鄉,座標重複,與「六嘉國中禮堂-室內」共用相同座標,"(120.292165, 23.501676)",各避難所應有獨立座標
1916,昇平國中[室內],嘉義縣竹崎鄉,座標重複,與「昇平國中[戶外]」共用相同座標,"(120.499, 23.5069)",各避難所應有獨立座標
1917,昇平國中[戶外],嘉義縣竹崎鄉,座標重複,與「昇平國中[室內]」共用相同座標,"(120.499, 23.5069)",各避難所應有獨立座標
1920,六腳國小-室內,嘉義縣六腳鄉,座標重複,與「六腳國小-室外」共用相同座標,"(120.251814, 23.509078)",各避難所應有獨立座標
1921,六腳國小-室外,嘉義縣六腳鄉,座標重複,與「六腳國小-室內」共用相同座標,"(120.251814, 23.509078)",各避難所應有獨立座標
1922,福興村廣興宮室內,嘉義縣民雄鄉,座標重複,與「福興村廣興宮室外」共用相同座標,"(120.4259, 23.5097)",各避難所應有獨立座標
1923,福興村廣興宮室外,嘉義縣民雄鄉,座標重複,與「福興村廣興宮室內」共用相同座標,"(120.4259, 23.5097)",各避難所應有獨立座標
1927,大崎國小-室外,嘉義縣民雄鄉,座標重複,與「大崎國小-室內」共用相同座標,"(120.4722, 23.5117)",各避難所應有獨立座標
1928,大崎國小-室內,嘉義縣民雄鄉,座標重複,與「大崎國小-室外」共用相同座標,"(120.4722, 23.5117)",各避難所應有獨立座標
1933,安和國小室內,嘉義縣新港鄉,座標重複,與「安和國小室外」共用相同座標,"(120.3129, 23.5147)",各避難所應有獨立座標
1934,安和國小室外,嘉義縣新港鄉,座標重複,與「安和國小室內」共用相同座標,"(120.3129, 23.5147)",各避難所應有獨立座標
1935,中興國小[室內],嘉義縣竹崎鄉,座標重複,與「中興國小[戶外]」共用相同座標,"(120.6063, 23.5149)",各避難所應有獨立座標
1936,中興國小[戶外],嘉義縣竹崎鄉,座標重複,與「中興國小[室內]」共用相同座標,"(120.6063, 23.5149)",各避難所應有獨立座標
1937,大吉國中-室外,嘉義縣民雄鄉,座標重複,與「大吉國中-室內」共用相同座標,"(120.4874, 23.5155)",各避難所應有獨立座標
1938,大吉國中-室內,嘉義縣民雄鄉,座標重複,與「大吉國中-室外」共用相同座標,"(120.4874, 23.5155)",各避難所應有獨立座標
1943,月眉國小室內,嘉義縣新港鄉,座標重複,與「月眉國小室外」共用相同座標,"(120.3517, 23.5202)",各避難所應有獨立座標
1944,月眉國小室外,嘉義縣新港鄉,座標重複,與「月眉國小室內」共用相同座標,"(120.3517, 23.5202)",各避難所應有獨立座標
1945,義和社區活動中心,嘉義縣竹崎鄉,座標重複,與「義隆社區活動中心」共用相同座標,"(120.5532, 23.5213)",各避難所應有獨立座標
1946,義隆社區活動中心,嘉義縣竹崎鄉,座標重複,與「義和社區活動中心」共用相同座標,"(120.5532, 23.5213)",各避難所應有獨立座標
1947,坑頭村活動中心,嘉義縣竹崎鄉,座標重複,與「光華社區活動中心、嘉義縣竹崎鄉昇平村收容所暨防災物資整備所」共用相同座標,"(120.5544, 23.5214)",各避難所應有獨立座標
1948,光華社區活動中心,嘉義縣竹崎鄉,座標重複,與「坑頭村活動中心、嘉義縣竹崎鄉昇平村收容所暨防災物資整備所」共用相同座標,"(120.5544, 23.5214)",各避難所應有獨立座標
1949,嘉義縣竹崎鄉昇平村收容所暨防災物資整備所,嘉義縣竹崎鄉,座標重複,與「坑頭村活動中心、光華社區活動中心」共用相同座標,"(120.5544, 23.5214)",各避難所應有獨立座標
1956,興中國小-室外,嘉義縣民雄鄉,座標重複,與「興中國小-室內」共用相同座標,"(120.42, 23.5266)",各避難所應有獨立座標
1957,興中國小-室內,嘉義縣民雄鄉,座標重複,與「興中國小-室外」共用相同座標,"(120.42, 23.5266)",各避難所應有獨立座標
1961,福樂國小教室,嘉義縣民雄鄉,座標重複,與「福樂國小操場」共用相同座標,"(120.452072, 23.528949)",各避難所應有獨立座標
1962,福樂國小操場,嘉義縣民雄鄉,座標重複,與「福樂國小教室」共用相同座標,"(120.452072, 23.528949)",各避難所應有獨立座標
1980,松山國小-室外,嘉義縣民雄鄉,座標重複,與「松山國小3樓多功能教室有電梯」共用相同座標,"(120.4751, 23.5403)",各避難所應有獨立座標
1981,松山國小3樓多功能教室有電梯,嘉義縣民雄鄉,座標重複,與「松山國小-室外」共用相同座標,"(120.4751, 23.5403)",各避難所應有獨立座標
1994,文昌國小室內,嘉義縣新港鄉,座標重複,與「文昌國小室外」共用相同座標,"(120.3505, 23.5537)",各避難所應有獨立座標
1995,文昌國小室外,嘉義縣新港鄉,座標重複,與「文昌國小室內」共用相同座標,"(120.3505, 23.5537)",各避難所應有獨立座標
1997,民雄國小-室外,嘉義縣民雄鄉,座標重複,與「民雄國小-室內」共用相同座標,"(120.4294, 23.5551)",各避難所應有獨立座標
1998,民雄國小-室內,嘉義縣民雄鄉,座標重複,與「民雄國小-室外」共用相同座標,"(120.4294, 23.5551)",各避難所應有獨立座標
2000,新港國小室內,嘉義縣新港鄉,座標重複,與「新港國小室外」共用相同座標,"(120.345, 23.5557)",各避難所應有獨立座標
2001,新港國小室外,嘉義縣新港鄉,座標重複,與「新港國小室內」共用相同座標,"(120.345, 23.5557)",各避難所應有獨立座標
2007,民雄國中-室外,嘉義縣民雄鄉,座標重複,與「民雄國中-室內」共用相同座標,"(120.4207, 23.5574)",各避難所應有獨立座標
2008,民雄國中-室內,嘉義縣民雄鄉,座標重複,與「民雄國中-室外」共用相同座標,"(120.4207, 23.5574)",各避難所應有獨立座標
2009,北美國小-室內,嘉義縣六腳鄉,座標重複,與「北美國小-室外」共用相同座標,"(120.303813, 23.55746)",各避難所應有獨立座標
2010,北美國小-室外,嘉義縣六腳鄉,座標重複,與「北美國小-室內」共用相同座標,"(120.303813, 23.55746)",各避難所應有獨立座標
2011,東榮國小-室外,嘉義縣民雄鄉,座標重複,與「東榮國小-室內」共用相同座標,"(120.4349, 23.5576)",各避難所應有獨立座標
2012,東榮國小-室內,嘉義縣民雄鄉,座標重複,與「東榮國小-室外」共用相同座標,"(120.4349, 23.5576)",各避難所應有獨立座標
2013,三興國小-室外,嘉義縣民雄鄉,座標重複,與「三興國小-室內」共用相同座標,"(120.4819, 23.5578)",各避難所應有獨立座標
2014,三興國小-室內,嘉義縣民雄鄉,座標重複,與「三興國小-室外」共用相同座標,"(120.4819, 23.5578)",各避難所應有獨立座標
2016,新港國中室內,嘉義縣新港鄉,座標重複,與「新港國中室外」共用相同座標,"(120.3438, 23.5584)",各避難所應有獨立座標
2017,新港國中室外,嘉義縣新港鄉,座標重複,與「新港國中室內」共用相同座標,"(120.3438, 23.5584)",各避難所應有獨立座標
2018,菁埔國小二樓活動中心,嘉義縣民雄鄉,座標重複,與「菁埔國小操場」共用相同座標,"(120.397377, 23.558682)",各避難所應有獨立座標
2019,菁埔國小操場,嘉義縣民雄鄉,座標重複,與「菁埔國小二樓活動中心」共用相同座標,"(120.397377, 23.558682)",各避難所應有獨立座標
2022,藝術高中室內,嘉義縣新港鄉,座標重複,與「藝術高中室外」共用相同座標,"(120.349, 23.5604)",各避難所應有獨立座標
2023,藝術高中室外,嘉義縣新港鄉,座標重複,與「藝術高中室內」共用相同座標,"(120.349, 23.5604)",各避難所應有獨立座標
2025,太平社區活動中心,嘉義縣梅山鄉,座標重複,與「太平國小[室外]」共用相同座標,"(120.6069, 23.561)",各避難所應有獨立座標
2026,太平國小[室外],嘉義縣梅山鄉,座標重複,與「太平社區活動中心」共用相同座標,"(120.6069, 23.561)",各避難所應有獨立座標
2032,六興宮室外,嘉義縣新港鄉,座標重複,與「六興宮室內」共用相同座標,"(120.3143, 23.5622)",各避難所應有獨立座標
2033,六興宮室內,嘉義縣新港鄉,座標重複,與「六興宮室外」共用相同座標,"(120.3143, 23.5622)",各避難所應有獨立座標
2034,古民國小室內,嘉義縣新港鄉,座標重複,與「古民國小室外」共用相同座標,"(120.3491, 23.5623)",各避難所應有獨立座標
2035,古民國小室外,嘉義縣新港鄉,座標重複,與「古民國小室內」共用相同座標,"(120.3491, 23.5623)",各避難所應有獨立座標
2103,復興國小室內,嘉義縣新港鄉,座標重複,與「復興國小室外」共用相同座標,"(120.3572, 23.5899)",各避難所應有獨立座標
2104,復興國小室外,嘉義縣新港鄉,座標重複,與「復興國小室內」共用相同座標,"(120.3572, 23.5899)",各避難所應有獨立座標
2127,頂湖國小,雲林縣口湖鄉,座標重複,與「鎮安宮」共用相同座標,"(120.179136, 23.5999)",各避難所應有獨立座標
2128,鎮安宮,雲林縣口湖鄉,座標重複,與「頂湖國小」共用相同座標,"(120.179136, 23.5999)",各避難所應有獨立座標
2137,溪口國小室內,嘉義縣溪口鄉,座標重複,與「溪口國小室外」共用相同座標,"(120.394218, 23.604503)",各避難所應有獨立座標
2138,溪口國小室外,嘉義縣溪口鄉,座標重複,與「溪口國小室內」共用相同座標,"(120.394218, 23.604503)",各避難所應有獨立座標
2150,埔北社區活動中心,雲林縣口湖鄉,座標重複,與「興安府」共用相同座標,"(120.19068, 23.613542)",各避難所應有獨立座標
2151,興安府,雲林縣口湖鄉,座標重複,與「埔北社區活動中心」共用相同座標,"(120.19068, 23.613542)",各避難所應有獨立座標
2190,四湖鄉立幼兒園,雲林縣四湖鄉,座標重複,與「舊戶政事務所、四湖鄉飛沙集會所避難收容場所」共用相同座標,"(120.2243, 23.6381)",各避難所應有獨立座標
2191,舊戶政事務所,雲林縣四湖鄉,座標重複,與「四湖鄉立幼兒園、四湖鄉飛沙集會所避難收容場所」共用相同座標,"(120.2243, 23.6381)",各避難所應有獨立座標
2192,四湖鄉飛沙集會所避難收容場所,雲林縣四湖鄉,座標重複,與「四湖鄉立幼兒園、舊戶政事務所」共用相同座標,"(120.2243, 23.6381)",各避難所應有獨立座標
2312,虎尾科技大學第四期教室,雲林縣虎尾鎮,座標重複,與「虎尾科技大學第三期教室、虎尾科技大學第ㄧ期教室」共用相同座標,"(120.4296, 23.7017)",各避難所應有獨立座標
2313,虎尾科技大學第三期教室,雲林縣虎尾鎮,座標重複,與「虎尾科技大學第四期教室、虎尾科技大學第ㄧ期教室」共用相同座標,"(120.4296, 23.7017)",各避難所應有獨立座標
2314,虎尾科技大學第ㄧ期教室,雲林縣虎尾鎮,座標重複,與「虎尾科技大學第四期教室、虎尾科技大學第三期教室」共用相同座標,"(120.4296, 23.7017)",各避難所應有獨立座標
2315,虎尾科技大學第二期教室,雲林縣虎尾鎮,座標重複,與「虎尾科技大學第四期教室、虎尾科技大學第三期教室」共用相同座標,"(120.4296, 23.7017)",各避難所應有獨立座標
2349,斗六市老人文康活動中心,雲林縣斗六市,座標重複,與「斗六公園」共用相同座標,"(120.5428, 23.7138)",各避難所應有獨立座標
2350,斗六公園,雲林縣斗六市,座標重複,與「斗六市老人文康活動中心」共用相同座標,"(120.5428, 23.7138)",各避難所應有獨立座標
2382,福田社區活動中心,南投縣竹山鎮,座標重複,與「過溪國小活動中心」共用相同座標,"(120.6665, 23.7278)",各避難所應有獨立座標
2383,過溪國小活動中心,南投縣竹山鎮,座標重複,與「福田社區活動中心」共用相同座標,"(120.6665, 23.7278)",各避難所應有獨立座標
2386,中溪國民小學教室,雲林縣虎尾鎮,座標重複,與「中溪國民小學運動場」共用相同座標,"(120.461735, 23.729841)",各避難所應有獨立座標
2387,中溪國民小學運動場,雲林縣虎尾鎮,座標重複,與「中溪國民小學教室」共用相同座標,"(120.461735, 23.729841)",各避難所應有獨立座標
2399,湖山社區活動中心,雲林縣斗六市,座標重複,與「溪洲國小」共用相同座標,"(120.555534, 23.741409)",各避難所應有獨立座標
2400,溪洲國小,雲林縣斗六市,座標重複,與「湖山社區活動中心」共用相同座標,"(120.555534, 23.741409)",各避難所應有獨立座標
2434,大榮2村社區活動中心,花蓮縣鳳林鎮,座標重複,與「大榮1村社區活動中心」共用相同座標,"(121.4676, 23.7523)",各避難所應有獨立座標
2435,大榮1村社區活動中心,花蓮縣鳳林鎮,座標重複,與「大榮2村社區活動中心」共用相同座標,"(121.4676, 23.7523)",各避難所應有獨立座標
2540,民和社區活動中心,南投縣水里鄉,座標重複,與「民和國中禮堂」共用相同座標,"(120.924508, 23.797088)",各避難所應有獨立座標
2541,民和國中禮堂,南投縣水里鄉,座標重複,與「民和社區活動中心」共用相同座標,"(120.924508, 23.797088)",各避難所應有獨立座標
2566,上安社區老人會館,南投縣水里鄉,座標重複,與「上安社區活動中心、玉峰社區活動中心」共用相同座標,"(120.835733, 23.806556)",各避難所應有獨立座標
2567,上安社區活動中心,南投縣水里鄉,座標重複,與「上安社區老人會館、玉峰社區活動中心」共用相同座標,"(120.835733, 23.806556)",各避難所應有獨立座標
2568,玉峰社區活動中心,南投縣水里鄉,座標重複,與「上安社區老人會館、上安社區活動中心」共用相同座標,"(120.835733, 23.806556)",各避難所應有獨立座標
2655,大城演藝廳,彰化縣大城鄉,座標重複,與「大城國小」共用相同座標,"(120.3203, 23.853)",各避難所應有獨立座標
2656,大城國小,彰化縣大城鄉,座標重複,與「大城演藝廳」共用相同座標,"(120.3203, 23.853)",各避難所應有獨立座標
2680,幸福國小,桃園市龜山區,座標重複,與「楓樹國小」共用相同座標,"(120.971916, 23.862946)",各避難所應有獨立座標
2681,楓樹國小,桃園市龜山區,座標重複,與「幸福國小」共用相同座標,"(120.971916, 23.862946)",各避難所應有獨立座標
2698,壽豐鄉公所,花蓮縣壽豐鄉,座標重複,與「文化中心」共用相同座標,"(121.5091, 23.8704)",各避難所應有獨立座標
2699,文化中心,花蓮縣壽豐鄉,座標重複,與「壽豐鄉公所」共用相同座標,"(121.5091, 23.8704)",各避難所應有獨立座標
2712,中寮社區活動中心,南投縣中寮鄉,座標重複,與「崁頂社區活動中心」共用相同座標,"(120.7732, 23.8763)",各避難所應有獨立座標
2713,崁頂社區活動中心,南投縣中寮鄉,座標重複,與「中寮社區活動中心」共用相同座標,"(120.7732, 23.8763)",各避難所應有獨立座標
2739,仁里社區活動中心,彰化縣田尾鄉,座標重複,與「花與樹博物館」共用相同座標,"(120.534111, 23.888979)",各避難所應有獨立座標
2740,花與樹博物館,彰化縣田尾鄉,座標重複,與「仁里社區活動中心」共用相同座標,"(120.534111, 23.888979)",各避難所應有獨立座標
2761,圖書館一樓,彰化縣埤頭鄉,座標重複,與「中和國小活動中心」共用相同座標,"(120.4587, 23.8933)",各避難所應有獨立座標
2762,中和國小活動中心,彰化縣埤頭鄉,座標重複,與「圖書館一樓」共用相同座標,"(120.4587, 23.8933)",各避難所應有獨立座標
2767,嘉和里、嘉興里災民收容所嘉和里集會所,南投縣南投市,座標重複,與「嘉和里災民收容所嘉和里集會所」共用相同座標,"(120.6871, 23.8955)",各避難所應有獨立座標
2768,嘉和里災民收容所嘉和里集會所,南投縣南投市,座標重複,與「嘉和里、嘉興里災民收容所嘉和里集會所」共用相同座標,"(120.6871, 23.8955)",各避難所應有獨立座標
2774,溪頂社區活動中心,彰化縣田尾鄉,座標重複,與「田尾社區活動中心」共用相同座標,"(120.508138, 23.897399)",各避難所應有獨立座標
2775,田尾社區活動中心,彰化縣田尾鄉,座標重複,與「溪頂社區活動中心」共用相同座標,"(120.508138, 23.897399)",各避難所應有獨立座標
2778,興華社區活動中心,彰化縣二林鎮,座標重複,與「萬興國中、圓和宮」共用相同座標,"(120.366378, 23.898143)",各避難所應有獨立座標
2779,萬興國中,彰化縣二林鎮,座標重複,與「興華社區活動中心、圓和宮」共用相同座標,"(120.366378, 23.898143)",各避難所應有獨立座標
2780,圓和宮,彰化縣二林鎮,座標重複,與「興華社區活動中心、萬興國中」共用相同座標,"(120.366378, 23.898143)",各避難所應有獨立座標
2781,民眾活動中心,彰化縣二林鎮,座標重複,與「興華社區活動中心、萬興國中」共用相同座標,"(120.366378, 23.898143)",各避難所應有獨立座標
2782,育德國小,彰化縣二林鎮,座標重複,與「興華社區活動中心、萬興國中」共用相同座標,"(120.366378, 23.898143)",各避難所應有獨立座標
2783,梅芳社區活動中心,彰化縣二林鎮,座標重複,與「興華社區活動中心、萬興國中」共用相同座標,"(120.366378, 23.898143)",各避難所應有獨立座標
2784,慈靈宮,彰化縣二林鎮,座標重複,與「興華社區活動中心、萬興國中」共用相同座標,"(120.366378, 23.898143)",各避難所應有獨立座標
2785,廣福宮,彰化縣二林鎮,座標重複,與「興華社區活動中心、萬興國中」共用相同座標,"(120.366378, 23.898143)",各避難所應有獨立座標
2786,東興社區活動中心,彰化縣二林鎮,座標重複,與「興華社區活動中心、萬興國中」共用相同座標,"(120.366378, 23.898143)",各避難所應有獨立座標
2806,崇文里災民收容所南投國小活動中心,南投縣南投市,座標重複,與「彰仁里災民收容所南投國小活動中心」共用相同座標,"(120.6839, 23.9058)",各避難所應有獨立座標
2807,彰仁里災民收容所南投國小活動中心,南投縣南投市,座標重複,與「崇文里災民收容所南投國小活動中心」共用相同座標,"(120.6839, 23.9058)",各避難所應有獨立座標
2810,新莊社區活動中心,彰化縣永靖鄉,座標重複,與「永靖國中」共用相同座標,"(120.553913, 23.906852)",各避難所應有獨立座標
2811,永靖國中,彰化縣永靖鄉,座標重複,與「新莊社區活動中心」共用相同座標,"(120.553913, 23.906852)",各避難所應有獨立座標
2812,原斗社區活動中心,彰化縣二林鎮,座標重複,與「西斗社區活動中心、東和里集會所」共用相同座標,"(120.436185, 23.907276)",各避難所應有獨立座標
2813,西斗社區活動中心,彰化縣二林鎮,座標重複,與「原斗社區活動中心、東和里集會所」共用相同座標,"(120.436185, 23.907276)",各避難所應有獨立座標
2814,東和里集會所,彰化縣二林鎮,座標重複,與「原斗社區活動中心、西斗社區活動中心」共用相同座標,"(120.436185, 23.907276)",各避難所應有獨立座標
2815,大永社區活動中心,彰化縣二林鎮,座標重複,與「原斗社區活動中心、西斗社區活動中心」共用相同座標,"(120.436185, 23.907276)",各避難所應有獨立座標
2816,東勢社區活動中心,彰化縣二林鎮,座標重複,與「原斗社區活動中心、西斗社區活動中心」共用相同座標,"(120.436185, 23.907276)",各避難所應有獨立座標
2817,新興宮,彰化縣二林鎮,座標重複,與「原斗社區活動中心、西斗社區活動中心」共用相同座標,"(120.436185, 23.907276)",各避難所應有獨立座標
2818,復豐社區活動中心,彰化縣二林鎮,座標重複,與「原斗社區活動中心、西斗社區活動中心」共用相同座標,"(120.436185, 23.907276)",各避難所應有獨立座標
2819,慈聖?,彰化縣二林鎮,座標重複,與「原斗社區活動中心、西斗社區活動中心」共用相同座標,"(120.436185, 23.907276)",各避難所應有獨立座標
2820,南光社區活動中心,彰化縣二林鎮,座標重複,與「原斗社區活動中心、西斗社區活動中心」共用相同座標,"(120.436185, 23.907276)",各避難所應有獨立座標
2825,仁和里災民收容所市區7里聯合辦公處,南投縣南投市,座標重複,與「南投里災民收容所市區七里聯合辦公處」共用相同座標,"(120.6858, 23.9101)",各避難所應有獨立座標
2826,南投里災民收容所市區七里聯合辦公處,南投縣南投市,座標重複,與「仁和里災民收容所市區7里聯合辦公處」共用相同座標,"(120.6858, 23.9101)",各避難所應有獨立座標
2833,龍泉里災民收容所康壽國小活動中心,南投縣南投市,座標重複,與「康壽里災民收容所康壽國小活動中心」共用相同座標,"(120.6863, 23.9133)",各避難所應有獨立座標
2834,康壽里災民收容所康壽國小活動中心,南投縣南投市,座標重複,與「龍泉里災民收容所康壽國小活動中心」共用相同座標,"(120.6863, 23.9133)",各避難所應有獨立座標
2855,陸豐社區活動中心,彰化縣田尾鄉,座標重複,與「張厝村集會所」共用相同座標,"(120.50099, 23.920935)",各避難所應有獨立座標
2856,張厝村集會所,彰化縣社頭鄉,座標重複,與「陸豐社區活動中心」共用相同座標,"(120.50099, 23.920935)",各避難所應有獨立座標
2867,湳墘社區活動中心,彰化縣永靖鄉,座標重複,與「同仁社區活動中心」共用相同座標,"(120.532649, 23.92828)",各避難所應有獨立座標
2868,同仁社區活動中心,彰化縣永靖鄉,座標重複,與「湳墘社區活動中心」共用相同座標,"(120.532649, 23.92828)",各避難所應有獨立座標
2933,溪湖鎮公所,彰化縣溪湖鎮,座標重複,與「溪湖國小」共用相同座標,"(120.478529, 23.95923)",各避難所應有獨立座標
2934,溪湖國小,彰化縣溪湖鎮,座標重複,與「溪湖鎮公所」共用相同座標,"(120.478529, 23.95923)",各避難所應有獨立座標
2943,薰化里集會所,南投縣埔里鎮,座標重複,與「清新里集會所」共用相同座標,"(120.9623, 23.9635)",各避難所應有獨立座標
2944,清新里集會所,南投縣埔里鎮,座標重複,與「薰化里集會所」共用相同座標,"(120.9623, 23.9635)",各避難所應有獨立座標
3105,史港里集會所,南投縣埔里鎮,座標重複,與「史港國小」共用相同座標,"(120.9575, 24.0067)",各避難所應有獨立座標
3106,史港國小,南投縣埔里鎮,座標重複,與「史港里集會所」共用相同座標,"(120.9575, 24.0067)",各避難所應有獨立座標
3112,利河伯社福基金會附設私立基督仁愛之家,南投縣埔里鎮,座標重複,與「福興里集會所」共用相同座標,"(120.9756, 24.0074)",各避難所應有獨立座標
3113,福興里集會所,南投縣埔里鎮,座標重複,與「利河伯社福基金會附設私立基督仁愛之家」共用相同座標,"(120.9756, 24.0074)",各避難所應有獨立座標
3143,受鎮宮,南投縣埔里鎮,座標重複,與「廣成里社區活動中心」共用相同座標,"(120.9498, 24.025)",各避難所應有獨立座標
3144,廣成里社區活動中心,南投縣埔里鎮,座標重複,與「受鎮宮」共用相同座標,"(120.9498, 24.025)",各避難所應有獨立座標
3154,秀水港墘社區活動中心,彰化縣秀水鄉,座標重複,與「秀水社區活動中心」共用相同座標,"(120.522912, 24.027939)",各避難所應有獨立座標
3155,秀水社區活動中心,彰化縣秀水鄉,座標重複,與「秀水港墘社區活動中心」共用相同座標,"(120.522912, 24.027939)",各避難所應有獨立座標
3424,臺中市中區老人休閒活動中心,臺中市中區,座標重複,與「臺中市中區區公所六樓大禮堂」共用相同座標,"(120.6795, 24.1439)",各避難所應有獨立座標
